learner,task,measure,min_runtime,mean_runtime,max_runtime,total_runtime,total_config,total_errors
catboost,blood-transfusion-service-center,ce,7.80420000000031,9.44875000000011,25.6683,182.100548333334,1100,0
catboost,blood-transfusion-service-center,bacc,8.18569999999982,10.0971500000004,25.0937000000001,206.918043333334,1100,0
catboost,blood-transfusion-service-center,logloss,7.94329999999973,9.87714999999999,148.3991,227.642356666667,1100,5
catboost,blood-transfusion-service-center,auc,8.07230000000018,10.7131000000007,38.1424,214.11976,1100,0
catboost,blood-transfusion-service-center,mcc,8.99060000000045,10.4284000000002,27.6978999999999,197.607868333333,1100,0
catboost,balance-scale,ce,Inf,,-Inf,0,1100,11000
catboost,balance-scale,bacc,7.8887999999999,9.99005000000002,20.2101,201.798633333333,1100,0
catboost,balance-scale,logloss,8.16239999999962,11.6788,223.5617,271.661385,1100,164
catboost,balance-scale,auc,8.19929999999986,9.7509,18.8349,188.045686666667,1100,0
catboost,balance-scale,mcc,8.11909999999971,9.94480000000017,18.9104,189.575053333334,1100,0
catboost,ilpd,ce,8.02739999999994,9.60404999999965,76.1092999999999,196.75771,1100,0
catboost,ilpd,bacc,7.86919999999973,9.77485000000001,69.6551,195.587773333333,1100,0
catboost,ilpd,logloss,7.67380000000012,10.0796999999991,2387.5859,378.245176666667,1100,81
catboost,ilpd,auc,7.69439999999922,15.1764500000001,177.9273,286.597183333333,1100,0
catboost,ilpd,mcc,8.06620000000021,9.52980000000003,97.3767,198.889826666667,1100,0
glmnet,blood-transfusion-service-center,ce,12.0129,14.18745,15.779,47.4879183333334,200,0
glmnet,blood-transfusion-service-center,bacc,12.6177999999999,14.1480499999999,15.7404,47.4267366666666,200,0
glmnet,blood-transfusion-service-center,logloss,13.7154999999998,18.31095,22.3846000000001,61.6600283333333,200,0
glmnet,blood-transfusion-service-center,auc,13.9879999999996,18.4138000000001,22.8689000000001,61.5213483333334,200,0
glmnet,blood-transfusion-service-center,mcc,13.2492000000001,16.9882000000001,20.489,57.27126,200,0
glmnet,balance-scale,ce,13.6599999999999,17.0137,20.5028,57.4644,200,0
glmnet,balance-scale,bacc,13.2547999999999,17.5733,22.4188,59.735025,200,0
glmnet,balance-scale,logloss,13.3084,17.2981000000001,21.7018,59.1751666666667,200,0
glmnet,balance-scale,auc,13.5654,17.2184000000001,21.7577,59.045715,200,0
glmnet,balance-scale,mcc,12.6232,14.47605,16.5845,48.0066933333333,200,0
glmnet,ilpd,ce,12.6934000000001,14.5224500000001,15.9066000000001,48.323725,200,0
glmnet,ilpd,bacc,13.0534999999999,14.39905,16.0996,47.9387816666667,200,0
glmnet,ilpd,logloss,13.2295000000001,14.783,16.6913,49.1557316666667,200,0
glmnet,ilpd,auc,13.1415000000001,14.66345,16.5587,49.12044,200,0
glmnet,ilpd,mcc,13.1793999999999,14.8591,17.0877,49.866745,200,0
kknn,blood-transfusion-service-center,ce,11.3268999999999,13.6341500000001,15.9082,67.85007,300,0
kknn,blood-transfusion-service-center,bacc,11.4226999999999,13.6507999999999,15.9796,67.7985083333333,300,0
kknn,blood-transfusion-service-center,logloss,12.0103000000001,16.79575,22.0603,84.006755,300,0
kknn,blood-transfusion-service-center,auc,12.0160999999999,16.8858,22.166,84.2886133333333,300,0
kknn,blood-transfusion-service-center,mcc,11.6317,15.809,20.9880999999999,78.8701433333333,300,0
kknn,balance-scale,ce,11.952,15.8358000000001,22.4009,82.6641083333334,300,0
kknn,balance-scale,bacc,12.0910000000003,15.7197,22.5394,82.6693383333333,300,0
kknn,balance-scale,logloss,11.9111000000002,16.0084500000001,22.5605,82.1261616666667,300,0
kknn,balance-scale,auc,11.7855999999997,16.05315,22.2882999999999,82.09332,300,0
kknn,balance-scale,mcc,11.5854000000004,13.9739,18.1093,68.893545,300,0
kknn,ilpd,ce,11.3816,14.0575,16.6096,69.0712116666667,300,0
kknn,ilpd,bacc,11.2663999999996,13.7227,15.9026,68.738715,300,0
kknn,ilpd,logloss,12.1768000000002,14.1649500000001,16.6998,71.161305,300,0
kknn,ilpd,auc,12.1612,14.2196,16.2936000000001,71.2425283333333,300,0
kknn,ilpd,mcc,11.3532000000001,14.3960000000001,18.7577,70.8447016666667,300,0
